面积,价格,格局,楼层,朝向,装修,年建,板楼塔楼,所在区域,电梯有无,房屋年限,交易权限,房型
59.3平米,585万,3室1厅,底层/共5层,南 北,平层/精装,1991年建,板楼,海淀  定慧寺 三至四环 近10号线西钓鱼台站,无,满五年,已购公房,3室1厅1厨1卫
57.36平米,276万,2室1厅,顶层/共6层,南 北,平层/简装,1985年建,板楼,丰台  看丹桥 三至四环 近9号线丰台南路站,暂无数据,满五年,已购公房,2室1厅1厨1卫
76.82平米,470万,2室1厅,中楼层/共18层,东南,平层/简装,1998年建,塔楼,石景山  鲁谷 四至五环,有,满五年,已购公房,2室1厅1厨1卫
98.12平米,370万,2室1厅,低楼层/共33层,西南,平层/精装,2002年建,塔楼,昌平  天通苑 五至六环,有,满五年,商品房,2室1厅1厨1卫
49.36平米,418万,1室0厅,高楼层/共16层,北,平层/精装,2004年建,板塔结合,东城  左安门 二环内,有,满五年,二类经济适用房,1室0厅1厨1卫
65.59平米,349万,2室1厅,中楼层/共6层,南 北,平层/精装,1979年建,板楼,朝阳  石佛营 四至五环 近6号线十里堡站,无,满五年,已购公房,2室1厅1厨1卫
96.48平米,365万,2室1厅,中楼层/共11层,南 北,平层/精装,2005年建,板塔结合,通州  九棵树(家乐福) 五至六环,有,满五年,商品房,2室1厅1厨1卫
55.51平米,410万,2室1厅,高楼层/共6层,南 北,平层/精装,1988年建,板楼,朝阳  南沙滩 四至五环 近15号线北沙滩站,无,满五年,商品房,2室1厅1厨1卫
58.33平米,212万,2室1厅,中楼层/共6层,东 西,平层/精装,1988年建,板楼,朝阳  首都机场 五至六环,无,满五年,已购公房,2室1厅1厨1卫
54.45平米,365万,2室1厅,低楼层/共13层,南,平层/简装,1984年建,板塔结合,朝阳  甜水园 三至四环 近6号线金台路站,有,满两年,已购公房,2室1厅1厨1卫
54.68平米,575万,2室1厅,中楼层/共6层,北 南,平层/简装,1987年建,板楼,东城  安定门 二至三环 近2号线安定门站,无,满五年,已购公房,2室1厅1厨1卫
62.33平米,418万,2室1厅,低楼层/共18层,东,平层/简装,1993年建,塔楼,朝阳  望京 四至五环,有,满五年,央产房,2室1厅1厨1卫
87.82平米,415万,2室1厅,中楼层/共16层,南 北,平层/精装,2009年建,板塔结合,昌平  西三旗 五至六环,有,满五年,限价商品房,2室1厅1厨1卫
84.8平米,380万,2室1厅,高楼层/共9层,南 北,平层/精装,2009年建,板楼,大兴  枣园 五至六环,有,满五年,商品房,2室1厅1厨1卫
58.13平米,420万,2室1厅,中楼层/共16层,东,平层/简装,1996年建,板塔结合,朝阳  和平里 二至三环 近13号线柳芳站,有,满五年,已购公房,2室1厅1厨1卫
51.46平米,158万,1室1厅,中楼层/共25层,东南,平层/精装,2013年建,塔楼,大兴  西红门 六环外,有,满五年,一类经济适用房,1室1厅1厨1卫
60.4平米,660万,2室1厅,中楼层/共5层,南 北,平层/简装,1992年建,板楼,海淀  五道口 四至五环 近4号线大兴线中关村站,无,满五年,商品房,2室1厅1厨1卫
95.98平米,529万,2室1厅,高楼层/共11层,南 北,平层/简装,2004年建,板楼,石景山  苹果园 五至六环,有,满五年,一类经济适用房,2室1厅1厨1卫
79.1平米,320万,2室1厅,中楼层/共16层,西南,平层/简装,1997年建,塔楼,石景山  杨庄 五至六环,有,满五年,已购公房,2室1厅1厨1卫
96.34平米,530万,2室1厅,底层/共6层,南 北,平层/精装,2005年建,板楼,丰台  青塔 四至五环 近14号线西段郭庄子站,无,满五年,商品房,2室1厅1厨1卫
69.05平米,370万,2室1厅,中楼层/共7层,南 北,平层/简装,1996年建,板楼,石景山  苹果园 五至六环,无,满五年,已购公房,2室1厅1厨1卫
80.61平米,285万,2室1厅,高楼层/共16层,南 北,平层/精装,未知年建,暂无数据,昌平  南邵 六环外,暂无数据,满五年,限价商品房,2室1厅1厨1卫
59.8平米,380万,2室1厅,中楼层/共6层,南 北,平层/精装,1989年建,板楼,海淀  田村 四至五环 近6号线田村站,无,满五年,已购公房,2室1厅1厨1卫
42.14平米,249万,1室1厅,中楼层/共6层,南,平层/简装,1982年建,板楼,朝阳  石佛营 四至五环 近6号线十里堡站,无,满五年,商品房,1室1厅1厨1卫
50.56平米,390万,2室1厅,高楼层/共24层,南,平层/精装,1989年建,塔楼,丰台  太平桥 二至三环 近7号线湾子站,有,满两年,商品房,2室1厅1厨1卫
73.9平米,325万,2室1厅,底层/共5层,南 北,平层/简装,1997年建,板楼,石景山  苹果园 五至六环,无,满五年,商品房,2室1厅1厨1卫
58.29平米,378万,2室1厅,高楼层/共6层,南 北,平层/精装,1990年建,板楼,丰台  太平桥 二至三环 近9号线六里桥东站,无,满五年,商品房,2室1厅1厨1卫
47.52平米,455万,1室1厅,低楼层/共24层,南,平层/简装,1997年建,塔楼,朝阳  芍药居 三至四环,有,满五年,已购公房,1室1厅1厨1卫
65.26平米,360万,2室1厅,中楼层/共18层,西北,平层/精装,1988年建,塔楼,朝阳  潘家园 三至四环 近10号线潘家园站,有,满五年,商品房,2室1厅1厨1卫
44.28平米,175万,1室1厅,底层/共15层,东,平层/精装,2010年建,板塔结合,房山  长阳 五至六环,有,满五年,商品房,1室1厅1厨1卫
56.39平米,579万,2室1厅,中楼层/共6层,南 北,平层/简装,1990年建,板楼,西城  广安门 二至三环,无,满两年,已购公房,2室1厅1厨1卫
93.62平米,395万,2室1厅,中楼层/共7层,南 北,平层/精装,2000年建,板楼,昌平  回龙观 五至六环 近8号线育知路站,无,满五年,商品房,2室1厅1厨1卫
106.99平米,778万,2室1厅,中楼层/共24层,东北,平层/精装,2001年建,塔楼,海淀  牡丹园 三至四环 近10号线健德门站,有,满五年,商品房,2室1厅1厨1卫
57.91平米,295万,2室1厅,顶层/共6层,北 南,平层/精装,1989年建,板楼,朝阳  酒仙桥 四至五环 近14号线东段将台站,无,满两年,已购公房,2室1厅1厨1卫
93.86平米,465万,2室1厅,中楼层/共6层,南 北,平层/简装,2007年建,板塔结合,昌平  回龙观 五至六环 近13号线回龙观站,无,满五年,商品房,2室1厅1厨1卫
69.07平米,560万,1室1厅,中楼层/共15层,西南,平层/精装,2008年建,板塔结合,朝阳  芍药居 三至四环,有,满五年,商品房,1室1厅1厨1卫
85.5平米,352万,2室1厅,低楼层/共28层,南 西,平层/精装,2011年建,板塔结合,昌平  鼓楼大街 ,有,满五年,商品房,2室1厅1厨1卫
47.69平米,445万,2室1厅,底层/共6层,东,平层/简装,1982年建,板楼,西城  牛街 二环内 近7号线广安门内站,无,满两年,商品房,2室1厅1厨1卫
78.36平米,288万,2室1厅,底层/共6层,南 北,平层/精装,2008年建,板楼,昌平  西关环岛 六环外,无,满五年,商品房,2室1厅1厨1卫
68.34平米,270万,2室1厅,低楼层/共18层,西,平层/简装,2010年建,塔楼,大兴  西红门 四至五环,有,满五年,商品房,2室1厅1厨1卫
56.44平米,215万,2室1厅,低楼层/共6层,南 北,平层/简装,1989年建,板楼,石景山  苹果园 五至六环,无,满五年,已购公房,2室1厅1厨1卫
91.52平米,830万,2室1厅,中楼层/共16层,东南,平层/精装,2000年建,塔楼,海淀  世纪城 三至四环 近10号线车道沟站,有,满五年,商品房,2室1厅1厨1卫
45.1平米,665万,1室1厅,低楼层/共6层,东 西,平层/精装,1991年建,板楼,西城  木樨地 二至三环,无,满五年,商品房,1室1厅1厨1卫
108.28平米,530万,2室1厅,中楼层/共7层,南 北,平层/精装,2003年建,板楼,昌平  回龙观 五至六环 近13号线龙泽站,无,满五年,商品房,2室1厅1厨1卫
46.28平米,305万,2室1厅,中楼层/共5层,南 北,平层/简装,1980年建,板楼,朝阳  潘家园 二至三环,无,满五年,商品房,2室1厅1厨1卫
59.25平米,468万,1室1厅,中楼层/共24层,北,平层/精装,1998年建,塔楼,朝阳  芍药居 三至四环,有,满五年,商品房,1室1厅1厨1卫
59.34平米,310万,1室1厅,高楼层/共6层,东 西 北,平层/精装,1994年建,板楼,昌平  回龙观 五至六环,无,满五年,商品房,1室1厅1厨1卫
78.78平米,405万,2室1厅,中楼层/共22层,西南,平层/简装,2003年建,塔楼,朝阳  酒仙桥 四至五环,有,满五年,二类经济适用房,2室1厅1厨1卫
69.89平米,475万,1室1厅,中楼层/共21层,东,平层/精装,2007年建,塔楼,朝阳  朝青 四至五环 近6号线青年路站,有,满五年,一类经济适用房,1室1厅1厨1卫
81.33平米,286万,2室1厅,中楼层/共6层,东 南 北,平层/简装,2002年建,板楼,通州  北关 五至六环,无,满五年,商品房,2室1厅1厨1卫
44.27平米,395万,1室1厅,底层/共14层,南 北,平层/精装,1989年建,板塔结合,海淀  牡丹园 三至四环 近10号线西土城站,有,满五年,已购公房,1室1厅1厨1卫
96.67平米,527万,2室1厅,顶层/共8层,南 北,平层/简装,2004年建,板楼,亦庄开发区  亦庄 五至六环,有,满五年,商品房,2室1厅1厨2卫
57.81平米,366万,2室1厅,中楼层/共4层,南 北,平层/简装,1986年建,板楼,朝阳  三元桥 三至四环,无,满两年,已购公房,2室1厅1厨1卫
75.65平米,365万,1室1厅,中楼层/共20层,西北,平层/精装,2006年建,板塔结合,昌平  回龙观 五至六环 近13号线龙泽站,有,满五年,商品房,1室1厅1厨1卫
155.38平米,1150万,2室1厅,高楼层/共21层,南 北,复式/简装,1999年建,板楼,海淀  紫竹桥 三至四环,有,满五年,商品房,2室1厅1厨2卫
93.49平米,365万,2室1厅,高楼层/共31层,东北,平层/简装,2000年建,塔楼,丰台  科技园区 三至四环,有,满五年,商品房,2室1厅1厨1卫
101.86平米,657万,2室2厅,顶层/共22层,西,平层/精装,2004年建,塔楼,西城  菜户营 二至三环,有,满五年,商品房,2室2厅1厨1卫
63.7平米,588万,2室1厅,中楼层/共6层,南 北,平层/精装,1996年建,板楼,海淀  新街口 二至三环 近2号线西直门站,无,满五年,已购公房,2室1厅1厨1卫
87.11平米,330万,2室1厅,低楼层/共18层,南 北,平层/毛坯,2013年建,板楼,通州  通州其它 五至六环,有,满两年,商品房,2室1厅1厨1卫
86.28平米,680万,2室1厅,低楼层/共24层,东南,平层/精装,2005年建,塔楼,朝阳  芍药居 三至四环,有,满五年,商品房,2室1厅1厨1卫
73.2平米,565万,2室1厅,顶层/共18层,东北,平层/简装,1998年建,塔楼,海淀  牡丹园 三至四环 近10号线西土城站,有,满两年,商品房,2室1厅1厨1卫
75.02平米,388万,2室1厅,高楼层/共21层,东 南 北,平层/精装,2010年建,塔楼,昌平  立水桥 五至六环 近5号线立水桥站,有,满五年,限价商品房,2室1厅1厨1卫
87.17平米,350万,2室1厅,低楼层/共27层,南,平层/简装,2015年建,塔楼,门头沟  大峪 六环外,有,满两年,商品房,2室1厅1厨1卫
81.73平米,455万,2室1厅,高楼层/共18层,东 西,平层/简装,2002年建,板塔结合,丰台  北大地 四至五环,有,满五年,商品房,2室1厅1厨1卫
59.19平米,352万,2室1厅,低楼层/共12层,南 北,平层/精装,1980年建,板塔结合,朝阳  劲松 二至三环 近10号线劲松站,有,满两年,商品房,2室1厅1厨1卫
239.03平米,1550万,4室2厅,顶层/共9层,南 北,复式/精装,2010年建,板楼,朝阳  望京 四至五环,有,满五年,商品房,4室2厅1厨3卫
161.78平米,1100万,4室2厅,高楼层/共12层,南 北,复式/精装,2003年建,板楼,朝阳  朝阳公园 四至五环 近14号线东段东风北桥站,有,满两年,商品房,4室2厅1厨2卫
139.17平米,1680万,3室1厅,低楼层/共7层,南 北,平层/精装,2002年建,板楼,西城  陶然亭 二环内 近4号线大兴线陶然亭站,有,满五年,商品房,3室1厅1厨2卫
137.14平米,765万,3室2厅,顶层/共14层,南 北,平层/精装,2004年建,板楼,朝阳  欢乐谷 四至五环 近7号线南楼梓庄站,有,满两年,商品房,3室2厅1厨2卫
306.04平米,1659万,4室2厅,中楼层/共15层,南 东 北,平层/精装,2013年建,板楼,顺义  后沙峪 五至六环,有,满两年,商品房,4室2厅1厨3卫
174.01平米,1150万,5室2厅,低楼层/共19层,南 西 北,跃层/精装,2011年建,板楼,朝阳  北苑 五至六环 近13号线北苑站,有,满五年,商品房,5室2厅1厨2卫
83.2平米,300万,2室1厅,高楼层/共6层,南 北,平层/简装,2002年建,板楼,昌平  鼓楼大街 六环外,无,满五年,商品房,2室1厅1厨1卫
74.32平米,345万,2室1厅,高楼层/共6层,南 北,平层/精装,2000年建,板楼,昌平  天通苑 五至六环,无,满两年,商品房,2室1厅1厨1卫
54.8平米,485万,2室1厅,顶层/共6层,南 北,平层/简装,1992年建,板楼,海淀  马甸 三至四环,无,满五年,央产房,2室1厅1厨1卫
102.04平米,539万,2室1厅,高楼层/共25层,东南,平层/精装,2000年建,塔楼,朝阳  北苑 五至六环 近13号线北苑站,有,满两年,商品房,2室1厅1厨1卫
75.02平米,170万,2室1厅,高楼层/共18层,南,平层/简装,2014年建,板楼,门头沟  门头沟其它 六环外,有,满两年,二类经济适用房,2室1厅1厨1卫
73.57平米,590万,2室1厅,高楼层/共15层,南,平层/精装,2006年建,板楼,海淀  清河 五至六环 近8号线西小口站,有,满五年,商品房,2室1厅1厨1卫
90.62平米,350万,2室2厅,中楼层/共9层,南,平层/精装,2008年建,板塔结合,通州  九棵树(家乐福) 五至六环,有,满五年,商品房,2室2厅1厨1卫
37.89平米,260万,1室1厅,中楼层/共5层,南,平层/简装,1977年建,板楼,朝阳  劲松 二至三环 近10号线劲松站,无,满五年,商品房,1室1厅1厨1卫
71.59平米,328万,2室1厅,底层/共28层,南,平层/精装,2011年建,塔楼,朝阳  垡头 ,有,满五年,一类经济适用房,2室1厅1厨1卫
93平米,399万,2室1厅,中楼层/共6层,南 北,平层/精装,2003年建,板楼,通州  通州北苑 五至六环 近八通线通州北苑站,无,满五年,商品房,2室1厅1厨1卫
86.72平米,430万,2室1厅,中楼层/共24层,南,平层/精装,1999年建,塔楼,丰台  成寿寺 三至四环 近10号线成寿寺站,有,满两年,商品房,2室1厅1厨1卫
93.08平米,369万,2室1厅,中楼层/共6层,南 北,平层/精装,1995年建,板楼,顺义  顺义城 六环外 近15号线顺义站,无,满五年,已购公房,2室1厅1厨1卫
94.38平米,430万,2室1厅,高楼层/共6层,南 北,平层/简装,2003年建,板楼,朝阳  双桥 五至六环 近八通线双桥站,无,满五年,一类经济适用房,2室1厅1厨1卫
100.22平米,533万,2室2厅,低楼层/共28层,东南,平层/简装,2005年建,塔楼,朝阳  双井 三至四环 近10号线劲松站,有,满五年,一类经济适用房,2室2厅1厨1卫
80.65平米,299万,2室1厅,中楼层/共6层,南 北,平层/精装,2003年建,板楼,昌平  北七家 五至六环,无,满五年,商品房,2室1厅1厨1卫
43.99平米,358万,1室1厅,中楼层/共6层,南 北,平层/精装,1996年建,板楼,朝阳  亚运村小营 四至五环 近5号线惠新西街北口站,无,满两年,已购公房,1室1厅1厨1卫
58.53平米,380万,2室1厅,低楼层/共6层,南 北,平层/精装,1993年建,板楼,丰台  七里庄 三至四环 近9号线七里庄站,无,满五年,已购公房,2室1厅1厨1卫
54.36平米,295万,2室1厅,低楼层/共6层,南 北,平层/精装,1992年建,板楼,石景山  鲁谷 四至五环,无,满两年,商品房,2室1厅1厨1卫
63.49平米,230万,2室1厅,低楼层/共6层,南 北,平层/简装,1993年建,板楼,顺义  首都机场 五至六环,无,满五年,商品房,2室1厅1厨1卫
75.28平米,333万,2室1厅,高楼层/共28层,东南,平层/简装,2009年建,塔楼,朝阳  潘家园 二至三环,有,满五年,二类经济适用房,2室1厅1厨1卫
78.76平米,352万,2室2厅,高楼层/共23层,南,平层/精装,2013年建,板塔结合,朝阳  东坝 五至六环,有,满五年,限价商品房,2室2厅1厨1卫
65.65平米,408万,2室1厅,底层/共6层,南 北,平层/简装,2003年建,板楼,海淀  安宁庄 五至六环,无,满五年,已购公房,2室1厅1厨1卫
63.87平米,565万,2室1厅,中楼层/共6层,南 北,平层/简装,1995年建,板楼,海淀  紫竹桥 三至四环 近10号线车道沟站,无,满五年,商品房,2室1厅1厨1卫
50.68平米,170万,1室1厅,高楼层/共28层,南,平层/简装,2013年建,板塔结合,顺义  马坡 ,有,满五年,一类经济适用房,1室1厅1厨1卫
63.91平米,368万,2室1厅,中楼层/共20层,西 北,平层/精装,1988年建,塔楼,朝阳  潘家园 三至四环 近10号线潘家园站,有,满五年,已购公房,2室1厅1厨1卫
58.3平米,295万,1室1厅,中楼层/共24层,东,平层/简装,2008年建,板塔结合,朝阳  朝阳门外 二至三环 近2号线朝阳门站,有,满五年,商品房,1室1厅1厨1卫
47.61平米,400万,1室1厅,中楼层/共22层,东南,平层/简装,1994年建,塔楼,朝阳  朝阳门外 二至三环 近2号线朝阳门站,有,满五年,已购公房,1室1厅1厨1卫
58.07平米,235万,2室1厅,中楼层/共6层,南 北,平层/简装,1997年建,板楼,石景山  苹果园 五至六环,无,满五年,已购公房,2室1厅1厨1卫
91.19平米,456万,2室1厅,低楼层/共24层,北,平层/精装,2003年建,塔楼,海淀  西三旗 五至六环 近8号线育新站,有,满五年,商品房,2室1厅1厨1卫
39.93平米,406万,1室1厅,低楼层/共18层,南,平层/精装,1991年建,塔楼,东城  东直门 二至三环 近2号线东直门站,有,满五年,商品房,1室1厅1厨1卫
60.05平米,289万,2室1厅,低楼层/共18层,东南,平层/其他,2000年建,塔楼,石景山  苹果园 五至六环 近6号线杨庄站,有,满两年,商品房,2室1厅1厨1卫
71.74平米,275万,2室1厅,顶层/共6层,南,跃层/其他,2002年建,板楼,通州  万达 五至六环,无,满两年,商品房,2室1厅1厨1卫
50.9平米,295万,2室1厅,高楼层/共6层,东南 南,平层/精装,1990年建,板楼,丰台  七里庄 三至四环 近9号线七里庄站,无,满五年,已购公房,2室1厅1厨1卫
72.34平米,268万,2室1厅,中楼层/共6层,南 北,平层/简装,1999年建,板楼,顺义  顺义城 六环外,无,满五年,商品房,2室1厅1厨1卫
43平米,410万,1室0厅,中楼层/共24层,北,平层/精装,2004年建,板塔结合,西城  菜户营 二至三环,有,满两年,商品房,1室0厅1厨1卫
43.5平米,343万,1室1厅,高楼层/共20层,南,平层/精装,1989年建,塔楼,朝阳  亚运村 四至五环 近5号线惠新西街北口站,有,满五年,商品房,1室1厅1厨1卫
87.06平米,335万,2室2厅,中楼层/共24层,东 北,平层/精装,2008年建,塔楼,亦庄开发区  亦庄 五至六环 近亦庄线亦庄文化园站,有,满两年,商品房,2室2厅1厨1卫
44.95平米,276万,1室1厅,中楼层/共6层,南 北,平层/精装,1994年建,板楼,朝阳  甘露园 四至五环,无,满五年,商品房,1室1厅1厨1卫
101.77平米,310万,2室1厅,高楼层/共14层,南,平层/精装,2009年建,板楼,通州  马驹桥 六环外,有,满五年,商品房,2室1厅1厨1卫
50.3平米,230万,1室1厅,顶层/共6层,南 北,平层/精装,1998年建,板楼,顺义  顺义城 六环外 近15号线顺义站,无,满五年,商品房,1室1厅1厨1卫
45.67平米,320万,1室1厅,中楼层/共30层,北,平层/简装,2005年建,塔楼,朝阳  方庄 二至三环 近14号线东段方庄站,有,满五年,商品房,1室1厅1厨1卫
81.74平米,530万,2室1厅,底层/共6层,南 北,平层/精装,2002年建,板楼,朝阳  欢乐谷 四至五环 近7号线南楼梓庄站,无,满五年,二类经济适用房,2室1厅1厨1卫
92.59平米,335万,2室1厅,高楼层/共14层,南 北,平层/精装,2015年建,板塔结合,大兴  枣园 五至六环 近新机场线大兴新城站,有,满两年,二类经济适用房,2室1厅1厨1卫
60.52平米,288万,2室1厅,低楼层/共6层,南 北,平层/精装,1993年建,板楼,通州  玉桥 五至六环,无,满五年,已购公房,2室1厅1厨1卫
55.86平米,379万,2室1厅,低楼层/共6层,南 北,平层/精装,1992年建,板楼,朝阳  燕莎 三至四环,无,满两年,商品房,2室1厅1厨1卫
65.4平米,678万,2室1厅,顶层/共14层,南 北,平层/精装,2004年建,板塔结合,西城  陶然亭 二环内 近7号线虎坊桥站,有,满五年,二类经济适用房,2室1厅1厨1卫
59.79平米,350万,2室1厅,低楼层/共6层,南 北,平层/简装,1984年建,板楼,朝阳  劲松 三至四环,暂无数据,满五年,已购公房,2室1厅1厨1卫
179.31平米,1050万,4室2厅,中楼层/共9层,南 北,平层/精装,2009年建,板楼,朝阳  东坝 五至六环,有,满五年,商品房,4室2厅1厨2卫
89.09平米,295万,2室2厅,低楼层/共17层,南 北,平层/精装,2011年建,板楼,昌平  沙河 五至六环,有,满两年,商品房,2室2厅1厨1卫
78.5平米,555万,2室1厅,低楼层/共27层,南,平层/精装,2012年建,板楼,丰台  丽泽 三至四环 近10号线西局站,有,满五年,定向安置房,2室1厅1厨1卫
82.34平米,428万,2室1厅,低楼层/共24层,西南,平层/简装,2003年建,塔楼,朝阳  酒仙桥 四至五环,有,满五年,二类经济适用房,2室1厅1厨1卫
82.06平米,415万,2室1厅,顶层/共6层,南 北,复式/精装,2002年建,板楼,丰台  大红门 三至四环 近8号线南段大红门南站,无,满五年,一类经济适用房,2室1厅1厨1卫
95.39平米,415万,2室2厅,中楼层/共7层,南 北,平层/简装,2000年建,板楼,昌平  回龙观 五至六环,无,满五年,一类经济适用房,2室2厅1厨1卫
88.17平米,789万,2室1厅,中楼层/共28层,南,平层/精装,2010年建,板塔结合,朝阳  双井  近10号线劲松站,有,满五年,商品房,2室1厅1厨1卫
89.75平米,600万,2室1厅,高楼层/共27层,东南,平层/精装,1998年建,塔楼,朝阳  望京 四至五环,有,满五年,商品房,2室1厅1厨1卫
67.63平米,738万,2室1厅,中楼层/共6层,南 北,平层/精装,1997年建,板楼,西城  右安门内 二环内,无,满两年,商品房,2室1厅1厨1卫
83.27平米,428万,2室1厅,低楼层/共11层,东 南 北,平层/精装,2010年建,板塔结合,朝阳  常营 五至六环 近6号线常营站,有,满五年,限价商品房,2室1厅1厨1卫
101.29平米,445万,2室1厅,底层/共6层,北 南,平层/精装,2001年建,板楼,通州  万达 五至六环,无,满五年,已购公房,2室1厅1厨2卫
94.76平米,515万,2室2厅,高楼层/共25层,西南,平层/精装,2002年建,塔楼,朝阳  北苑 五至六环,有,满两年,商品房,2室2厅1厨2卫
91.05平米,497万,2室1厅,低楼层/共27层,南,平层/精装,2010年建,板塔结合,朝阳  常营 五至六环,有,满五年,商品房,2室1厅1厨1卫
68.3平米,575万,2室1厅,高楼层/共7层,南 北,平层/简装,1996年建,板楼,海淀  学院路 四至五环 近15号线六道口站,无,满五年,央产房,2室1厅1厨1卫
77.86平米,468万,3室1厅,中楼层/共22层,西南,平层/简装,1993年建,塔楼,丰台  西罗园 二至三环 近8号线南段木樨园站,有,满两年,已购公房,3室1厅1厨1卫
56.9平米,615万,3室1厅,低楼层/共6层,南 北,平层/精装,1982年建,板楼,西城  陶然亭 二至三环,无,满五年,商品房,3室1厅1厨1卫
191.76平米,750万,4室2厅,上叠别墅/共4层,南 北,复式/简装,2004年建,暂无数据,昌平  北七家 五至六环,自供暖,满五年,商品房,4室2厅1厨3卫
71.9平米,505万,2室1厅,中楼层/共6层,南 北,平层/精装,1998年建,板楼,丰台  草桥 三至四环 近10号线草桥站,无,满两年,商品房,2室1厅1厨1卫
118.71平米,435万,3室1厅,顶层/共6层,南 北,平层/精装,2007年建,板楼,昌平  霍营 五至六环 近8号线回龙观东大街站,无,满五年,商品房,3室1厅1厨1卫
77.81平米,425万,3室1厅,顶层/共6层,南 北,平层/精装,1986年建,板楼,朝阳  十里堡 四至五环 近6号线十里堡站,无,满两年,商品房,3室1厅1厨1卫
57.42平米,450万,2室1厅,中楼层/共6层,南 北,平层/简装,1993年建,板楼,朝阳  朝阳门外 二至三环,无,满两年,商品房,2室1厅1厨1卫
167.15平米,1065万,4室2厅,底层/共10层,东 南 北,平层/简装,2006年建,板楼,丰台  青塔 四至五环,有,满五年,商品房,4室2厅1厨2卫
106.57平米,603万,2室1厅,中楼层/共26层,南,平层/精装,1998年建,塔楼,朝阳  望京 四至五环 近15号线望京站,有,满五年,商品房,2室1厅1厨1卫
115.23平米,625万,3室1厅,中楼层/共34层,南 北,平层/精装,2014年建,板塔结合,昌平  回龙观 五至六环,有,满两年,商品房,3室1厅1厨1卫
75.98平米,288万,2室1厅,中楼层/共6层,南 北,平层/简装,1998年建,板楼,通州  北关 五至六环,无,满五年,商品房,2室1厅1厨1卫
132.32平米,434万,3室2厅,低楼层/共13层,南 北,平层/精装,2012年建,板塔结合,房山  长阳 五至六环,有,满五年,商品房,3室2厅1厨2卫
91.73平米,256万,2室1厅,中楼层/共11层,南 北,平层/精装,未知年建,板楼,大兴  大兴其它 五至六环,暂无数据,满五年,商品房,2室1厅1厨1卫
65.97平米,525万,1室1厅,高楼层/共18层,西,平层/精装,2009年建,塔楼,朝阳  朝阳门外 二至三环 近6号线东大桥站,有,满五年,商品房,1室1厅1厨1卫
56.16平米,228万,2室1厅,中楼层/共6层,南,平层/毛坯,2011年建,板楼,海淀  海淀其它 ,无,满五年,一类经济适用房,2室1厅1厨1卫
51.39平米,398万,1室1厅,中楼层/共6层,南,平层/精装,1996年建,板楼,海淀  定慧寺 三至四环 近6号线海淀五路居站,无,满五年,商品房,1室1厅1厨1卫
90.97平米,389万,2室1厅,顶层/共6层,南 北,平层/精装,2000年建,板楼,昌平  回龙观 五至六环 近8号线育知路站,无,满五年,一类经济适用房,2室1厅1厨1卫
41.77平米,203万,1室1厅,顶层/共6层,东,平层/精装,1990年建,板楼,石景山  鲁谷 四至五环,无,满两年,商品房,1室1厅1厨1卫
89.17平米,440万,2室1厅,高楼层/共15层,南 北,平层/精装,2012年建,板塔结合,朝阳  双桥 五至六环,有,满两年,商品房,2室1厅1厨1卫
50.55平米,420万,2室0厅,顶层/共5层,南,平层/毛坯,1980年建,板楼,朝阳  东大桥 二至三环 近6号线呼家楼站,无,满五年,已购公房,2室0厅1厨1卫
39.6平米,270万,1室1厅,中楼层/共6层,南,平层/精装,1997年建,板楼,丰台  北京南站 二至三环 近4号线大兴线马家堡站,无,满五年,商品房,1室1厅1厨1卫
79.04平米,329万,2室1厅,低楼层/共24层,东北,平层/精装,2007年建,塔楼,丰台  卢沟桥 四至五环,有,满五年,商品房,2室1厅1厨1卫
65平米,443万,2室1厅,中楼层/共6层,南 北,平层/精装,1995年建,板楼,朝阳  望京 四至五环,无,满五年,商品房,2室1厅1厨1卫
31.03平米,145万,1室1厅,高楼层/共6层,东 北,平层/精装,2004年建,板楼,房山  良乡 五至六环,无,满两年,商品房,1室1厅1厨1卫
140.7平米,1130万,3室2厅,中楼层/共10层,西南,平层/简装,1997年建,板塔结合,海淀  双榆树 三至四环 近10号线知春里站,有,满五年,商品房,3室2厅1厨2卫
69.55平米,435万,1室1厅,中楼层/共10层,东,平层/精装,2003年建,板楼,朝阳  朝阳公园 四至五环 近14号线东段东风北桥站,有,满五年,商品房,1室1厅1厨1卫
91.54平米,435万,2室1厅,低楼层/共23层,东 北,平层/简装,2002年建,塔楼,丰台  看丹桥 三至四环 近9号线丰台南路站,有,满五年,已购公房,2室1厅1厨1卫
53.37平米,257万,1室1厅,底层/共6层,南 北,平层/精装,1997年建,板楼,大兴  西红门 四至五环,无,满五年,已购公房,1室1厅1厨1卫
73.29平米,270万,1室1厅,中楼层/共6层,南 北,平层/精装,2001年建,板楼,顺义  顺义城 六环外,无,满五年,商品房,1室1厅1厨1卫
95.75平米,306万,2室1厅,中楼层/共14层,南 北,平层/精装,2011年建,板楼,房山  良乡 五至六环 近房山线苏庄站,有,满五年,商品房,2室1厅1厨1卫
66.18平米,228万,2室1厅,中楼层/共5层,南 北,平层/简装,2010年建,板楼,顺义  顺义城 六环外,无,满五年,一类经济适用房,2室1厅1厨1卫
48.21平米,149万,1室1厅,中楼层/共25层,南,平层/简装,2013年建,塔楼,大兴  西红门 六环外,有,满五年,一类经济适用房,1室1厅1厨1卫
